ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
JonesSa01 ,1961,Sam,Jones,east,N,1,14,2.0,nan,nan,1.0,0.0,nan,nan,nan,nan,8.0,1.0,1.0,0.0,nan,nan
JonesSt01 ,1969,Steve,Jones,west,A,1,18,14.0,nan,nan,5.0,1.0,nan,nan,nan,2.0,9.0,4.0,6.0,6.0,0.0,0.0
JonesSt01 ,1970,Steve,Jones,west,A,1,21,9.0,3.0,0.0,3.0,0.0,nan,nan,1.0,4.0,9.0,4.0,1.0,1.0,0.0,0.0
JonesSt01 ,1971,Steve,Jones,west,A,1,19,9.0,1.0,1.0,2.0,3.0,nan,nan,1.0,0.0,7.0,3.0,2.0,2.0,1.0,1.0
JonesWi01 ,1971,Wil,Jones,west,A,1,10,2.0,2.0,1.0,3.0,0.0,nan,nan,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
JordaMi01 ,1997,Michael,Jordan,east,N,1,32,23.0,5.0,1.0,6.0,8.0,3.0,0.0,2.0,0.0,18.0,10.0,3.0,2.0,1.0,1.0
JordaMi01 ,1996,Michael,Jordan,east,N,1,26,14.0,8.0,3.0,11.0,11.0,2.0,0.0,3.0,4.0,14.0,5.0,7.0,4.0,0.0,0.0
JordaMi01 ,1995,Michael,Jordan,east,N,1,22,20.0,nan,nan,4.0,1.0,nan,nan,nan,nan,11.0,8.0,4.0,4.0,nan,nan
JordaMi01 ,1992,Michael,Jordan,west,N,1,36,30.0,nan,nan,4.0,5.0,nan,nan,nan,nan,24.0,10.0,13.0,9.0,nan,nan
JordaMi01 ,1991,Michael,Jordan,east,N,1,31,18.0,nan,nan,1.0,5.0,nan,nan,nan,nan,17.0,9.0,0.0,0.0,nan,nan
JordaMi01 ,1990,Michael,Jordan,east,N,1,36,26.0,nan,nan,5.0,5.0,nan,nan,nan,nan,25.0,10.0,7.0,6.0,nan,nan
JordaMi01 ,1989,Michael,Jordan,east,N,1,29,17.0,nan,nan,5.0,2.0,nan,nan,nan,nan,17.0,8.0,0.0,0.0,nan,nan
JordaMi01 ,1988,Michael,Jordan,east,N,1,33,28.0,nan,nan,2.0,3.0,nan,nan,nan,nan,23.0,13.0,4.0,2.0,nan,nan
JordaMi01 ,1987,Michael,Jordan,east,N,1,29,40.0,nan,nan,8.0,3.0,nan,nan,nan,nan,23.0,17.0,6.0,6.0,nan,nan
JordaMi01 ,1986,Michael,Jordan,east,N,1,28,11.0,nan,nan,0.0,4.0,nan,nan,nan,nan,12.0,5.0,2.0,1.0,nan,nan
JordaMi01 ,1985,Michael,Jordan,east,N,1,99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
JordaMi01 ,1984,Michael,Jordan,east,N,1,22,7.0,nan,nan,6.0,2.0,nan,nan,nan,nan,9.0,2.0,4.0,3.0,nan,nan
JordaMi01 ,2002,Michael,Jordan,east,N,1,36,20.0,3.0,2.0,5.0,2.0,2.0,0.0,2.0,3.0,27.0,9.0,2.0,2.0,2.0,0.0
JordaMi01 ,2001,Michael,Jordan,east,N,1,22,8.0,4.0,0.0,4.0,3.0,2.0,0.0,1.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0
KauffBo01 ,1972,Bob,Kauffman,east,N,1,9,3.0,nan,nan,1.0,1.0,nan,nan,nan,nan,2.0,1.0,2.0,1.0,nan,nan
KauffBo01 ,1971,Bob,Kauffman,east,N,1,7,2.0,nan,nan,1.0,1.0,nan,nan,nan,nan,1.0,1.0,0.0,0.0,nan,nan
KauffBo01 ,1970,Bob,Kauffman,east,N,1,4,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,2.0,0.0,0.0,0.0,nan,nan
KempSh01  ,1997,Shawn,Kemp,east,N,1,25,12.0,9.0,2.0,11.0,2.0,4.0,0.0,4.0,2.0,10.0,5.0,2.0,2.0,1.0,0.0
KempSh01  ,1996,Shawn,Kemp,west,N,1,19,10.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,7.0,4.0,2.0,1.0,1.0,0.0
KempSh01  ,1995,Shawn,Kemp,west,N,1,22,13.0,nan,nan,4.0,1.0,nan,nan,nan,nan,12.0,6.0,2.0,1.0,nan,nan
KempSh01  ,1994,Shawn,Kemp,west,N,1,23,13.0,nan,nan,2.0,2.0,nan,nan,nan,nan,6.0,4.0,6.0,5.0,nan,nan
KempSh01  ,1993,Shawn,Kemp,west,N,1,22,6.0,nan,nan,12.0,4.0,nan,nan,nan,nan,11.0,3.0,0.0,0.0,nan,nan
KempSh01  ,1992,Shawn,Kemp,east,N,1,9,0.0,nan,nan,2.0,0.0,nan,nan,nan,nan,2.0,0.0,0.0,0.0,nan,nan
KenonLa01 ,1978,Larry,Kenon,east,N,1,7,3.0,nan,nan,2.0,1.0,nan,nan,nan,nan,3.0,1.0,2.0,1.0,nan,nan
KenonLa01 ,1977,Larry,Kenon,east,N,1,20,16.0,nan,nan,4.0,0.0,nan,nan,nan,nan,15.0,8.0,0.0,0.0,nan,nan
KenonLa01 ,1973,Larry,Kenon,east,A,1,22,18.0,5.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,12.0,8.0,3.0,2.0,0.0,0.0
KenonLa01 ,1974,Larry,Kenon,east,A,1,16,12.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0
KenonLa01 ,1975,Larry,Kenon,AllStars,A,1,20,10.0,nan,nan,6.0,2.0,nan,nan,nan,5.0,7.0,5.0,0.0,0.0,0.0,0.0
KerrJo01  ,1962,John,Kerr,east,N,1,11,2.0,nan,nan,2.0,1.0,nan,nan,nan,nan,4.0,0.0,2.0,2.0,nan,nan
KerrJo01  ,1958,John,Kerr,east,N,1,21,7.0,nan,nan,9.0,2.0,nan,nan,nan,nan,14.0,3.0,2.0,1.0,nan,nan
KerrJo01  ,1955,John,Kerr,east,N,1,16,4.0,nan,nan,8.0,0.0,nan,nan,nan,nan,4.0,2.0,1.0,0.0,nan,nan
KeyeJu01  ,1970,Julius,Keye,west,A,1,7,0.0,2.0,2.0,4.0,0.0,nan,nan,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
KiddJa01  ,1995,Jason,Kidd,west,N,1,22,7.0,nan,nan,6.0,10.0,nan,nan,nan,nan,4.0,3.0,0.0,0.0,nan,nan
KiddJa01  ,2003,Jason,Kidd,east,N,1,22,14.0,3.0,0.0,3.0,10.0,2.0,0.0,3.0,1.0,6.0,4.0,4.0,3.0,4.0,3.0
KiddJa01  ,2002,Jason,Kidd,east,N,1,33,11.0,4.0,1.0,5.0,10.0,5.0,0.0,2.0,0.0,9.0,4.0,2.0,2.0,4.0,1.0
KiddJa01  ,2001,Jason,Kidd,east,N,1,18,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
KiddJa01  ,2000,Jason,Kidd,west,N,1,30,11.0,4.0,0.0,4.0,2.0,5.0,0.0,5.0,3.0,6.0,4.0,0.0,0.0,4.0,3.0
KiddJa01  ,1999,Jason,Kidd,west,N,1,34,11.0,5.0,0.0,5.0,14.0,4.0,0.0,6.0,0.0,9.0,4.0,0.0,0.0,6.0,3.0
KiddJa01  ,1997,Jason,Kidd,west,N,1,19,0.0,1.0,0.0,1.0,9.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
KingBe01  ,1984,Bernard,King,east,N,1,22,13.0,nan,nan,7.0,1.0,nan,nan,nan,nan,10.0,6.0,2.0,1.0,nan,nan
KingBe01  ,1983,Bernard,King,east,N,1,22,18.0,nan,nan,3.0,4.0,nan,nan,nan,nan,13.0,8.0,5.0,2.0,nan,nan
KingBe01  ,1990,Bernard,King,east,N,1,26,8.0,nan,nan,3.0,3.0,nan,nan,nan,nan,8.0,2.0,4.0,4.0,nan,nan
KingJi01  ,1967,Jim,King,west,N,1,7,0.0,nan,nan,1.0,2.0,nan,nan,nan,nan,4.0,1.0,3.0,2.0,nan,nan
KirilAn01 ,2003,Andrei,Kirilenko,west,N,1,12,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0
KnighBi01 ,1976,Billy,Knight,west,N,1,12,4.0,nan,nan,5.0,0.0,nan,nan,nan,nan,5.0,1.0,2.0,2.0,nan,nan
KnighBi01 ,1975,Billy,Knight,AllStars,A,1,23,20.0,nan,nan,10.0,2.0,nan,nan,nan,3.0,14.0,9.0,2.0,2.0,1.0,0.0
KojisDo01 ,1968,Don,Kojis,west,N,1,16,8.0,nan,nan,5.0,3.0,nan,nan,nan,nan,7.0,2.0,5.0,4.0,nan,nan
KojisDo01 ,1967,Don,Kojis,west,N,1,10,4.0,nan,nan,2.0,1.0,nan,nan,nan,nan,5.0,2.0,0.0,0.0,nan,nan
LaceySa01 ,1974,Sam,Lacey,west,N,1,17,6.0,nan,nan,7.0,1.0,nan,nan,nan,nan,6.0,2.0,2.0,2.0,nan,nan
LadneWe01 ,1970,Wendell,Ladner,west,A,1,20,12.0,5.0,2.0,7.0,0.0,nan,nan,2.0,3.0,11.0,6.0,0.0,0.0,0.0,0.0
LadneWe01 ,1971,Wendell,Ladner,west,A,1,14,4.0,5.0,1.0,6.0,1.0,nan,nan,0.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0
LaettCh01 ,1996,Christian,Laettner,east,N,1,24,7.0,7.0,4.0,11.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0
LaimbBi01 ,1986,Bill,Laimbeer,east,N,1,11,8.0,nan,nan,2.0,1.0,nan,nan,nan,nan,7.0,4.0,0.0,0.0,nan,nan
LaimbBi01 ,1984,Bill,Laimbeer,east,N,1,11,5.0,nan,nan,3.0,1.0,nan,nan,nan,nan,4.0,2.0,2.0,1.0,nan,nan
LaimbBi01 ,1983,Bill,Laimbeer,east,N,1,17,13.0,nan,nan,5.0,0.0,nan,nan,nan,nan,8.0,6.0,1.0,1.0,nan,nan
LaimbBi01 ,1982,Bill,Laimbeer,east,N,1,6,2.0,nan,nan,1.0,0.0,nan,nan,nan,nan,1.0,1.0,0.0,0.0,nan,nan
LanieBo01 ,1978,Bob,Lanier,east,N,1,31,10.0,nan,nan,4.0,4.0,nan,nan,nan,nan,10.0,5.0,0.0,0.0,nan,nan
LanieBo01 ,1977,Bob,Lanier,west,N,1,4,1.0,nan,nan,2.0,0.0,nan,nan,nan,nan,0.0,0.0,2.0,1.0,nan,nan
LanieBo01 ,1976,Bob,Lanier,west,N,1,20,17.0,nan,nan,10.0,4.0,nan,nan,nan,nan,8.0,7.0,3.0,3.0,nan,nan
LanieBo01 ,1974,Bob,Lanier,west,N,1,12,2.0,nan,nan,7.0,2.0,nan,nan,nan,nan,4.0,1.0,0.0,0.0,nan,nan
LanieBo01 ,1973,Bob,Lanier,west,N,1,26,24.0,nan,nan,10.0,2.0,nan,nan,nan,nan,15.0,11.0,2.0,2.0,nan,nan
LanieBo01 ,1972,Bob,Lanier,west,N,1,12,10.0,nan,nan,6.0,0.0,nan,nan,nan,nan,9.0,5.0,0.0,0.0,nan,nan
LanieBo01 ,1971,Bob,Lanier,west,N,1,5,2.0,nan,nan,3.0,0.0,nan,nan,nan,nan,2.0,0.0,3.0,2.0,nan,nan
LaRusRu01 ,1965,Rudy,LaRusso,west,N,1,22,11.0,nan,nan,3.0,2.0,nan,nan,nan,nan,10.0,4.0,7.0,3.0,nan,nan
LaRusRu01 ,1962,Rudy,LaRusso,west,N,1,11,6.0,nan,nan,1.0,2.0,nan,nan,nan,nan,3.0,3.0,0.0,0.0,nan,nan
LaRusRu01 ,1961,Rudy,LaRusso,west,N,1,99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LaRusRu01 ,1968,Rudy,LaRusso,west,N,1,18,6.0,nan,nan,6.0,2.0,nan,nan,nan,nan,6.0,3.0,0.0,0.0,nan,nan
LaRusRu01 ,1967,Rudy,LaRusso,west,N,1,19,6.0,nan,nan,7.0,0.0,nan,nan,nan,nan,8.0,3.0,2.0,0.0,nan,nan
LeeCl01   ,1967,Clyde,Lee,west,N,1,18,6.0,nan,nan,11.0,2.0,nan,nan,nan,nan,8.0,2.0,4.0,2.0,nan,nan
LeverLa01 ,1989,Lafayette,Lever,west,N,1,22,16.0,nan,nan,3.0,2.0,nan,nan,nan,nan,13.0,7.0,2.0,2.0,nan,nan
LeverLa01 ,1987,Lafayette,Lever,west,N,1,31,17.0,nan,nan,4.0,3.0,nan,nan,nan,nan,14.0,7.0,4.0,3.0,nan,nan
LewisFr01 ,1967,Freddie,Lewis,east,A,1,18,6.0,0.0,0.0,0.0,3.0,nan,nan,0.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0
LewisFr01 ,1969,Freddie,Lewis,east,A,1,9,1.0,nan,nan,6.0,1.0,nan,nan,nan,1.0,5.0,0.0,2.0,1.0,0.0,0.0
LewisFr01 ,1971,Freddie,Lewis,west,A,1,18,18.0,1.0,0.0,1.0,1.0,nan,nan,3.0,2.0,13.0,7.0,4.0,3.0,2.0,1.0
LewisFr01 ,1974,Freddie,Lewis,east,A,1,33,26.0,5.0,0.0,5.0,10.0,2.0,0.0,6.0,3.0,15.0,11.0,3.0,3.0,1.0,1.0
LewisMi01 ,1970,Mike,Lewis,east,A,1,14,7.0,4.0,1.0,5.0,1.0,nan,nan,1.0,4.0,7.0,3.0,1.0,1.0,0.0,0.0
LewisRe01 ,1991,Reggie,Lewis,east,N,1,15,7.0,nan,nan,4.0,2.0,nan,nan,nan,nan,7.0,3.0,2.0,1.0,nan,nan
LigonGo01 ,1968,Goose,Ligon,east,A,1,12,3.0,2.0,1.0,3.0,0.0,nan,nan,1.0,2.0,2.0,0.0,4.0,3.0,0.0,0.0
LoveBo01  ,1972,Bob,Love,west,N,1,12,6.0,nan,nan,3.0,0.0,nan,nan,nan,nan,4.0,2.0,2.0,2.0,nan,nan
LoveBo01  ,1971,Bob,Love,west,N,1,16,8.0,nan,nan,6.0,0.0,nan,nan,nan,nan,11.0,4.0,2.0,0.0,nan,nan
LoveBo01  ,1970,Bob,Love,west,N,1,21,16.0,nan,nan,4.0,0.0,nan,nan,nan,nan,12.0,6.0,5.0,4.0,nan,nan
LovelCl01 ,1955,Clyde,Lovellette,west,N,1,20,7.0,nan,nan,10.0,0.0,nan,nan,nan,nan,10.0,3.0,3.0,1.0,nan,nan
LovelCl01 ,1960,Clyde,Lovellette,west,N,1,31,21.0,nan,nan,10.0,3.0,nan,nan,nan,nan,19.0,10.0,1.0,1.0,nan,nan
LovelCl01 ,1959,Clyde,Lovellette,west,N,1,18,12.0,nan,nan,8.0,1.0,nan,nan,nan,nan,11.0,6.0,0.0,0.0,nan,nan
LucasJe01 ,1968,Jerry,Lucas,east,N,1,17,8.0,nan,nan,6.0,1.0,nan,nan,nan,nan,5.0,2.0,5.0,4.0,nan,nan
LucasJe01 ,1967,Jerry,Lucas,east,N,1,21,16.0,nan,nan,5.0,4.0,nan,nan,nan,nan,9.0,6.0,4.0,4.0,nan,nan
LucasJe01 ,1966,Jerry,Lucas,east,N,1,22,7.0,nan,nan,7.0,2.0,nan,nan,nan,nan,5.0,3.0,1.0,1.0,nan,nan
LucasJe01 ,1965,Jerry,Lucas,east,N,1,23,10.0,nan,nan,19.0,0.0,nan,nan,nan,nan,11.0,4.0,2.0,2.0,nan,nan
LucasJe01 ,1964,Jerry,Lucas,east,N,1,35,25.0,nan,nan,10.0,1.0,nan,nan,nan,nan,19.0,12.0,1.0,1.0,nan,nan
LucasJe01 ,1963,Jerry,Lucas,east,N,1,36,11.0,nan,nan,8.0,0.0,nan,nan,nan,nan,6.0,3.0,6.0,5.0,nan,nan
LucasJe01 ,1970,Jerry,Lucas,west,N,1,29,12.0,nan,nan,9.0,4.0,nan,nan,nan,nan,9.0,5.0,2.0,2.0,nan,nan
LucasMa01 ,1982,Maurice,Lucas,west,N,1,27,6.0,nan,nan,7.0,1.0,nan,nan,nan,nan,8.0,3.0,1.0,0.0,nan,nan
LucasMa01 ,1978,Maurice,Lucas,west,N,1,19,10.0,nan,nan,7.0,1.0,nan,nan,nan,nan,10.0,4.0,2.0,2.0,nan,nan
LucasMa01 ,1977,Maurice,Lucas,west,N,1,33,12.0,nan,nan,13.0,4.0,nan,nan,nan,nan,13.0,6.0,0.0,0.0,nan,nan
LucasMa01 ,1976,Maurice,Lucas,west,N,1,11,6.0,nan,nan,4.0,2.0,nan,nan,nan,nan,9.0,3.0,0.0,0.0,nan,nan
LucasMa01 ,1975,Maurice,Lucas,AllStars,A,1,14,5.0,nan,nan,5.0,3.0,nan,nan,nan,1.0,5.0,2.0,1.0,1.0,0.0,0.0
MacauEd01 ,1950,Ed,Macauley,east,N,1,0,20.0,nan,nan,6.0,1.0,nan,nan,nan,nan,12.0,7.0,7.0,6.0,nan,nan
MacauEd01 ,1955,Ed,Macauley,east,N,1,20,4.0,nan,nan,2.0,3.0,nan,nan,nan,nan,9.0,1.0,4.0,2.0,nan,nan
MacauEd01 ,1954,Ed,Macauley,east,N,1,27,6.0,nan,nan,4.0,2.0,nan,nan,nan,nan,5.0,1.0,5.0,4.0,nan,nan
MacauEd01 ,1953,Ed,Macauley,east,N,1,25,13.0,nan,nan,1.0,3.0,nan,nan,nan,nan,11.0,4.0,6.0,5.0,nan,nan
MacauEd01 ,1952,Ed,Macauley,east,N,1,35,18.0,nan,nan,7.0,3.0,nan,nan,nan,nan,12.0,5.0,8.0,8.0,nan,nan
MacauEd01 ,1951,Ed,Macauley,east,N,1,28,15.0,nan,nan,7.0,3.0,nan,nan,nan,nan,7.0,3.0,9.0,9.0,nan,nan
MacauEd01 ,1956,Ed,Macauley,west,N,1,19,7.0,nan,nan,5.0,3.0,nan,nan,nan,nan,6.0,3.0,2.0,1.0,nan,nan
MagloJa01 ,2003,Jamaal,Magloire,east,N,1,21,19.0,5.0,3.0,8.0,0.0,1.0,1.0,1.0,2.0,16.0,9.0,2.0,1.0,0.0,0.0
MahafRa01 ,1967,Randolph,Mahaffey,east,A,1,7,4.0,2.0,2.0,4.0,0.0,nan,nan,1.0,0.0,2.0,1.0,6.0,2.0,0.0,0.0
MajerDa01 ,1994,Dan,Majerle,west,N,1,20,10.0,nan,nan,5.0,3.0,nan,nan,nan,nan,12.0,4.0,0.0,0.0,nan,nan
MajerDa01 ,1993,Dan,Majerle,west,N,1,99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MajerDa01 ,1992,Dan,Majerle,east,N,1,26,18.0,nan,nan,7.0,3.0,nan,nan,nan,nan,11.0,6.0,4.0,3.0,nan,nan
MajerDa01 ,1991,Dan,Majerle,west,N,1,12,4.0,nan,nan,3.0,2.0,nan,nan,nan,nan,5.0,2.0,0.0,0.0,nan,nan
MalonJe01 ,1986,Jeff,Malone,east,N,1,13,6.0,nan,nan,2.0,2.0,nan,nan,nan,nan,5.0,3.0,0.0,0.0,nan,nan
MalonJe01 ,1985,Jeff,Malone,east,N,1,12,6.0,nan,nan,1.0,4.0,nan,nan,nan,nan,5.0,3.0,0.0,0.0,nan,nan
MalonKa01 ,2000,Karl,Malone,west,N,1,4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MalonKa01 ,1999,Karl,Malone,west,N,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MalonKa01 ,1997,Karl,Malone,west,N,1,17,4.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0
MalonKa01 ,1996,Karl,Malone,west,N,1,20,4.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
MalonKa01 ,1995,Karl,Malone,west,N,1,20,11.0,nan,nan,9.0,2.0,nan,nan,nan,nan,6.0,2.0,8.0,7.0,nan,nan
MalonKa01 ,1994,Karl,Malone,west,N,1,16,15.0,nan,nan,3.0,1.0,nan,nan,nan,nan,6.0,6.0,4.0,3.0,nan,nan
MalonKa01 ,1993,Karl,Malone,west,N,1,21,6.0,nan,nan,7.0,2.0,nan,nan,nan,nan,9.0,3.0,0.0,0.0,nan,nan
MalonKa01 ,1992,Karl,Malone,east,N,1,34,28.0,nan,nan,10.0,0.0,nan,nan,nan,nan,17.0,11.0,9.0,6.0,nan,nan
MalonKa01 ,1991,Karl,Malone,west,N,1,19,11.0,nan,nan,7.0,3.0,nan,nan,nan,nan,7.0,5.0,2.0,1.0,nan,nan
MalonKa01 ,1990,Karl,Malone,west,N,1,31,16.0,nan,nan,11.0,4.0,nan,nan,nan,nan,11.0,6.0,6.0,4.0,nan,nan
MalonKa01 ,1989,Karl,Malone,west,N,1,99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MalonKa01 ,1988,Karl,Malone,west,N,1,26,28.0,nan,nan,9.0,3.0,nan,nan,nan,nan,17.0,12.0,6.0,4.0,nan,nan
MalonKa01 ,1987,Karl,Malone,west,N,1,33,22.0,nan,nan,10.0,2.0,nan,nan,nan,nan,19.0,9.0,5.0,4.0,nan,nan
MalonMo01 ,1988,Moses,Malone,east,N,1,19,9.0,nan,nan,8.0,0.0,nan,nan,nan,nan,9.0,3.0,3.0,3.0,nan,nan
MalonMo01 ,1981,Moses,Malone,west,N,1,22,8.0,nan,nan,6.0,3.0,nan,nan,nan,nan,8.0,3.0,4.0,2.0,nan,nan
MalonMo01 ,1980,Moses,Malone,west,N,1,22,8.0,nan,nan,6.0,3.0,nan,nan,nan,nan,8.0,3.0,4.0,2.0,nan,nan
MalonMo01 ,1979,Moses,Malone,east,N,1,31,20.0,nan,nan,12.0,2.0,nan,nan,nan,nan,12.0,7.0,12.0,6.0,nan,nan
MalonMo01 ,1978,Moses,Malone,east,N,1,17,8.0,nan,nan,7.0,1.0,nan,nan,nan,nan,2.0,2.0,5.0,4.0,nan,nan
MalonMo01 ,1977,Moses,Malone,east,N,1,14,4.0,nan,nan,4.0,1.0,nan,nan,nan,nan,1.0,1.0,4.0,2.0,nan,nan
MalonMo01 ,1985,Moses,Malone,east,N,1,34,16.0,nan,nan,13.0,0.0,nan,nan,nan,nan,12.0,5.0,9.0,6.0,nan,nan
MalonMo01 ,1984,Moses,Malone,east,N,1,33,7.0,nan,nan,12.0,1.0,nan,nan,nan,nan,10.0,2.0,6.0,3.0,nan,nan
MalonMo01 ,1982,Moses,Malone,east,N,1,24,10.0,nan,nan,8.0,3.0,nan,nan,nan,nan,8.0,3.0,6.0,4.0,nan,nan
MalonMo01 ,1987,Moses,Malone,east,N,1,22,7.0,nan,nan,9.0,2.0,nan,nan,nan,nan,6.0,2.0,6.0,3.0,nan,nan
MalonMo01 ,1986,Moses,Malone,east,N,1,35,27.0,nan,nan,18.0,2.0,nan,nan,nan,nan,19.0,11.0,6.0,5.0,nan,nan
MalonMo01 ,1974,Moses,Malone,west,A,1,20,6.0,7.0,3.0,10.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,0.0,0.0
ManniDa01 ,1993,Danny,Manning,west,N,1,17,8.0,nan,nan,4.0,2.0,nan,nan,nan,nan,7.0,4.0,0.0,0.0,nan,nan
ManniDa01 ,1992,Danny,Manning,east,N,1,18,10.0,nan,nan,4.0,1.0,nan,nan,nan,nan,5.0,5.0,0.0,0.0,nan,nan
MaravPe02 ,1973,Pete,Maravich,east,N,1,22,15.0,nan,nan,3.0,4.0,nan,nan,nan,nan,15.0,4.0,9.0,7.0,nan,nan
MaravPe02 ,1972,Pete,Maravich,east,N,1,22,8.0,nan,nan,3.0,5.0,nan,nan,nan,nan,8.0,4.0,0.0,0.0,nan,nan
MaravPe02 ,1978,Pete,Maravich,east,N,1,14,10.0,nan,nan,2.0,2.0,nan,nan,nan,nan,8.0,5.0,0.0,0.0,nan,nan
MaravPe02 ,1977,Pete,Maravich,east,N,1,99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MaravPe02 ,1976,Pete,Maravich,east,N,1,21,10.0,nan,nan,0.0,4.0,nan,nan,nan,nan,13.0,5.0,0.0,0.0,nan,nan
MarbuSt01 ,2000,Stephon,Marbury,east,N,1,18,12.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,9.0,5.0,2.0,0.0,3.0,2.0
MarbuSt01 ,2002,Stephon,Marbury,west,N,1,15,4.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0
MarinJa01 ,1971,Jack,Marin,east,N,1,15,11.0,nan,nan,0.0,1.0,nan,nan,nan,nan,8.0,5.0,1.0,1.0,nan,nan
MarinJa01 ,1972,Jack,Marin,east,N,1,11,4.0,nan,nan,4.0,1.0,nan,nan,nan,nan,6.0,2.0,0.0,0.0,nan,nan
MarioSh01 ,2002,Shawn,Marion,west,N,1,23,8.0,2.0,5.0,7.0,4.0,3.0,1.0,0.0,1.0,9.0,4.0,0.0,0.0,1.0,0.0
MartiKe01 ,2003,Kenyon,Martin,east,N,1,23,17.0,3.0,4.0,7.0,3.0,0.0,0.0,3.0,1.0,10.0,8.0,2.0,1.0,0.0,0.0
MartiSl01 ,1955,Slater,Martin,west,N,1,29,9.0,nan,nan,1.0,7.0,nan,nan,nan,nan,7.0,3.0,3.0,3.0,nan,nan
MartiSl01 ,1954,Slater,Martin,west,N,1,23,5.0,nan,nan,2.0,5.0,nan,nan,nan,nan,5.0,2.0,2.0,1.0,nan,nan
MartiSl01 ,1953,Slater,Martin,west,N,1,23,2.0,nan,nan,0.0,3.0,nan,nan,nan,nan,5.0,1.0,0.0,0.0,nan,nan
MartiSl01 ,1952,Slater,Martin,west,N,1,26,5.0,nan,nan,2.0,1.0,nan,nan,nan,nan,10.0,2.0,1.0,1.0,nan,nan
MartiSl01 ,1958,Slater,Martin,west,N,1,22,5.0,nan,nan,6.0,1.0,nan,nan,nan,nan,6.0,2.0,2.0,1.0,nan,nan
MartiSl01 ,1957,Slater,Martin,west,N,1,26,6.0,nan,nan,2.0,8.0,nan,nan,nan,nan,9.0,2.0,4.0,2.0,nan,nan
MartiSl01 ,1956,Slater,Martin,west,N,1,31,8.0,nan,nan,2.0,3.0,nan,nan,nan,nan,11.0,4.0,0.0,0.0,nan,nan
MashbJa01 ,2002,Jamal,Mashburn,east,N,1,14,10.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,2.0,2.0
MasonAn01 ,2000,Anthony,Mason,east,N,1,20,0.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
McAdoBo01 ,1976,Bob,McAdoo,east,N,1,38,30.0,nan,nan,10.0,2.0,nan,nan,nan,nan,23.0,13.0,4.0,4.0,nan,nan
McAdoBo01 ,1975,Bob,McAdoo,east,N,1,29,22.0,nan,nan,7.0,1.0,nan,nan,nan,nan,14.0,10.0,4.0,2.0,nan,nan
McAdoBo01 ,1974,Bob,McAdoo,east,N,1,26,11.0,nan,nan,6.0,2.0,nan,nan,nan,nan,9.0,4.0,3.0,3.0,nan,nan
McAdoBo01 ,1973,Bob,McAdoo,east,N,1,13,11.0,nan,nan,3.0,1.0,nan,nan,nan,nan,4.0,3.0,8.0,5.0,nan,nan
McAdoBo01 ,1977,Bob,McAdoo,east,N,1,20,14.0,nan,nan,4.0,0.0,nan,nan,nan,nan,14.0,7.0,0.0,0.0,nan,nan
